latent_dim,modality,orig_index,class_idx,class_name,PC1,PC2,PC3
128,PROT,0,12,monocyte,0.76395905,-0.46184465,0.13607071
128,PROT,1,12,monocyte,0.8248026,-0.52675474,0.16293947
128,PROT,2,12,monocyte,0.74766,-0.45012864,0.13709454
128,PROT,3,10,macrophage,0.36601627,0.24312776,-0.059059422
128,PROT,4,12,monocyte,0.7607784,-0.42932937,0.15237695
128,PROT,5,10,macrophage,0.3921894,0.16045904,-0.051551763
128,PROT,6,10,macrophage,0.2899611,0.29476294,-0.09364824
128,PROT,7,12,monocyte,0.7622919,-0.42111015,0.15229274
128,PROT,8,12,monocyte,0.7488284,-0.3175785,0.07495659
128,PROT,9,12,monocyte,0.76248485,-0.43246982,0.15027079
128,PROT,10,10,macrophage,0.33582833,0.24706793,-0.061344463
128,PROT,11,12,monocyte,0.76280826,-0.43732664,0.13193095
128,PROT,12,12,monocyte,0.7584328,-0.451577,0.13074662
128,PROT,13,12,monocyte,0.76084906,-0.43952718,0.14308095
128,PROT,14,10,macrophage,0.3694083,0.16115928,-0.051647548
128,PROT,15,12,monocyte,0.7364286,-0.25163057,0.09676689
128,PROT,16,10,macrophage,0.36990526,0.17373481,-0.050644856
128,PROT,17,12,monocyte,0.7540079,-0.454111,0.14634684
128,PROT,18,12,monocyte,0.8471061,-0.54296815,0.15172657
128,PROT,19,12,monocyte,0.7581076,-0.43643507,0.14336847
128,PROT,20,12,monocyte,0.84315974,-0.5064209,0.15058737
128,PROT,21,12,monocyte,0.7353718,-0.463652,0.12711105
128,PROT,22,10,macrophage,0.38872325,0.17154509,-0.043962773
128,PROT,23,12,monocyte,0.8444588,-0.5013534,0.16977821
128,PROT,24,12,monocyte,0.7570791,-0.43664846,0.13991468
128,PROT,25,12,monocyte,0.7666371,-0.4462396,0.13746162
128,PROT,26,12,monocyte,0.82217216,-0.5125067,0.17298909
128,PROT,27,12,monocyte,0.8314192,-0.50989693,0.15886724
128,PROT,28,12,monocyte,0.8192848,-0.5651976,0.1494605
128,PROT,29,12,monocyte,0.7456814,-0.4574668,0.13433032
128,PROT,30,10,macrophage,0.38419458,0.17767683,-0.04181311
128,PROT,31,12,monocyte,0.82390356,-0.449668,0.15627179
128,PROT,32,10,macrophage,0.35590243,0.23385805,-0.06461705
128,PROT,33,12,monocyte,0.7550348,-0.45025003,0.12676063
128,PROT,34,12,monocyte,0.75128114,-0.45249984,0.14144781
128,PROT,35,12,monocyte,0.7529459,-0.44790164,0.14341144
128,PROT,36,12,monocyte,0.7501085,-0.44265905,0.14431632
128,PROT,37,12,monocyte,0.75909317,-0.4522347,0.13079728
128,PROT,38,12,monocyte,0.7629623,-0.43167114,0.14778027
128,PROT,39,10,macrophage,0.3809261,0.15610859,-0.03937913
128,PROT,40,12,monocyte,0.8522099,-0.55560505,0.14987838
128,PROT,41,12,monocyte,0.7388254,-0.46871698,0.1303366
128,PROT,42,10,macrophage,0.37076822,0.17234233,-0.048469175
128,PROT,43,10,macrophage,0.36320356,0.13535184,-0.041120213
128,PROT,44,12,monocyte,0.75826126,-0.45488346,0.11158131
128,PROT,45,12,monocyte,0.7608807,-0.4430402,0.13274579
128,PROT,46,12,monocyte,0.754881,-0.4513654,0.1392583
128,PROT,47,12,monocyte,0.75575686,-0.45651588,0.12333667
128,PROT,48,12,monocyte,0.8457104,-0.5150843,0.14043747
128,PROT,49,12,monocyte,0.7607595,-0.44075975,0.14041089
128,PROT,50,12,monocyte,0.84178984,-0.5233269,0.17520046
128,PROT,51,12,monocyte,0.8651184,-0.5445607,0.15986021
128,PROT,52,12,monocyte,0.7599095,-0.45086563,0.1331919
128,PROT,53,12,monocyte,0.8179014,-0.5150532,0.14654711
128,PROT,54,12,monocyte,0.75624967,-0.4465919,0.12964733
128,PROT,55,12,monocyte,0.8605938,-0.5626642,0.13973685
128,PROT,56,12,monocyte,0.7525883,-0.43465927,0.15792581
128,PROT,57,10,macrophage,0.38026765,0.16328451,-0.06393856
128,PROT,58,12,monocyte,0.84146416,-0.5195397,0.16182515
128,PROT,59,12,monocyte,0.7552931,-0.44564158,0.13652964
128,PROT,60,10,macrophage,0.39031652,0.16605935,-0.044049952
128,PROT,61,10,macrophage,0.39429742,0.17439881,-0.04670589
128,PROT,62,12,monocyte,0.82527363,-0.4883745,0.13180625
128,PROT,63,12,monocyte,0.8484963,-0.51558864,0.16187677
128,PROT,64,12,monocyte,0.8536607,-0.54196805,0.1681467
128,PROT,65,12,monocyte,0.75895107,-0.4544576,0.128244
128,PROT,66,10,macrophage,0.39278707,0.16507381,-0.047817025
128,PROT,67,10,macrophage,0.38408798,0.16907352,-0.05768357
128,PROT,68,10,macrophage,0.38163996,0.17195061,-0.05548205
128,PROT,69,12,monocyte,0.8107444,-0.42983264,0.095103055
128,PROT,70,10,macrophage,0.37518516,0.16777045,-0.045984905
